RBD;IVE BÁSICA 2021;IVE MEDIA 2021
1;NO;91%
4;NO;88%
5;83%;88%
7;NO;94%
8;85%;87%
15;85%;84%
25;92%;94%
32;92%;91%
45;81%;85%
50;81%;90%
52;84%;88%
56;53%;61%
60;75%;75%
67;67%;67%
72;69%;86%
78;90%;90%
97;NO;85%
103;86%;84%
106;71%;86%
107;52%;78%
108;NO;84%
109;77%;81%
110;81%;82%
124;NO;89%
125;79%;83%
127;69%;73%
129;61%;73%
130;72%;71%
131;77%;82%
132;53%;63%
133;79%;84%
134;73%;80%
144;82%;77%
161;89%;92%
178;87%;84%
191;NO;86%
199;NO;90%
200;NO;94%
208;68%;80%
211;NO;81%
217;NO;78%
218;NO;74%
219;NO;86%
220;NO;88%
253;69%;78%
254;67%;76%
255;79%;79%
256;55%;62%
268;79%;100%
270;76%;79%
279;NO;89%
280;72%;84%
283;NO;89%
284;58%;62%
285;73%;77%
286;NO;82%
287;77%;82%
304;67%;75%
320;81%;79%
329;67%;72%
335;87%;84%
336;51%;67%
337;57%;67%
341;69%;75%
342;49%;68%
344;70%;78%
350;64%;66%
356;60%;68%
365;51%;66%
367;70%;78%
371;69%;77%
372;92%;91%
373;85%;82%
379;NO;89%
384;NO;91%
392;76%;70%
396;NO;93%
399;NO;93%
400;90%;86%
415;70%;75%
420;91%;90%
429;59%;71%
430;88%;88%
431;78%;81%
433;80%;79%
437;NO;82%
438;NO;94%
440;88%;90%
441;91%;94%
448;NO;91%
449;NO;95%
478;69%;75%
479;70%;83%
486;NO;91%
516;90%;85%
517;92%;87%
518;NO;94%
521;78%;76%
526;83%;85%
530;84%;89%
531;91%;92%
535;83%;79%
565;79%;82%
567;86%;89%
568;76%;74%
570;78%;75%
573;66%;82%
574;91%;90%
575;87%;90%
578;91%;92%
579;72%;77%
581;73%;74%
583;58%;73%
589;67%;77%
597;94%;94%
609;NO;94%
610;NO;94%
611;NO;95%
613;91%;91%
629;93%;95%
646;93%;92%
647;91%;91%
648;80%;85%
649;87%;87%
656;NO;97%
664;86%;87%
665;NO;93%
668;93%;88%
690;85%;89%
701;NO;93%
704;89%;89%
705;NO;95%
763;88%;89%
766;90%;92%
767;85%;85%
768;98%;96%
769;74%;76%
772;NO;95%
774;94%;90%
799;98%;94%
802;NO;98%
845;NO;94%
967;95%;88%
968;NO;95%
982;95%;93%
987;69%;82%
988;NO;95%
1013;88%;94%
1036;75%;84%
1048;NO;92%
1119;91%;90%
1121;NO;97%
1123;89%;91%
1148;92%;95%
1149;87%;96%
1164;89%;94%
1167;NO;94%
1183;87%;90%
1184;89%;98%
1190;66%;71%
1194;75%;82%
1195;NO;89%
1196;NO;93%
1198;92%;88%
1199;NO;92%
1213;85%;87%
1214;75%;79%
1255;86%;90%
1260;83%;87%
1261;89%;91%
1262;NO;91%
1263;93%;95%
1264;86%;93%
1289;NO;95%
1290;77%;78%
1291;69%;72%
1292;87%;88%
1294;81%;87%
1300;NO;94%
1301;97%;99%
1302;92%;100%
1316;89%;88%
1318;92%;95%
1327;89%;91%
1335;NO;92%
1347;93%;94%
1354;NO;94%
1361;93%;92%
1362;95%;94%
1363;79%;87%
1364;91%;92%
1366;NO;96%
1367;88%;90%
1368;86%;81%
1370;92%;92%
1371;89%;87%
1392;80%;84%
1393;90%;86%
1395;89%;93%
1397;92%;92%
1405;91%;93%
1414;84%;79%
1421;90%;88%
1422;NO;94%
1425;94%;95%
1436;84%;88%
1437;90%;88%
1443;NO;96%
1444;93%;91%
1445;91%;96%
1449;94%;93%
1450;82%;86%
1453;93%;95%
1464;NO;92%
1467;75%;83%
1468;87%;93%
1478;87%;81%
1482;83%;86%
1489;NO;94%
1490;94%;99%
1500;86%;92%
1502;NO;94%
1503;NO;95%
1504;NO;97%
1515;89%;90%
1516;96%;93%
1517;80%;86%
1518;93%;95%
1519;80%;96%
1520;90%;89%
1521;91%;94%
1522;94%;91%
1525;96%;96%
1542;95%;93%
1549;88%;90%
1579;93%;93%
1581;67%;76%
1582;86%;90%
1585;95%;92%
1586;83%;88%
1587;86%;83%
1588;85%;90%
1590;81%;86%
1594;90%;94%
1604;90%;86%
1607;92%;91%
1610;95%;95%
1619;97%;95%
1632;87%;86%
1635;70%;84%
1653;83%;83%
1657;76%;75%
1663;NO;95%
1664;NO;95%
1672;NO;88%
1674;NO;92%
1675;77%;80%
1676;84%;88%
1681;76%;89%
1685;93%;92%
1734;69%;73%
1735;80%;81%
1738;81%;84%
1739;NO;96%
1741;92%;85%
1742;95%;92%
1743;83%;86%
1747;NO;85%
1749;93%;89%
1750;77%;78%
1755;86%;88%
1756;92%;84%
1757;59%;69%
1761;78%;86%
1769;82%;85%
1795;61%;73%
1801;59%;67%
1851;97%;96%
1858;90%;90%
1859;90%;81%
1860;93%;94%
1863;89%;92%
1864;95%;95%
1880;NO;94%
1881;84%;86%
1882;87%;83%
1884;NO;87%
1886;83%;86%
1887;86%;79%
1889;83%;77%
1891;90%;97%
1895;93%;91%
1908;85%;85%
1909;63%;70%
1911;79%;80%
1918;79%;82%
1919;60%;68%
1923;79%;82%
1934;75%;80%
1941;78%;82%
1958;NO;91%
1959;88%;88%
1967;82%;84%
1969;92%;88%
1971;82%;86%
1977;67%;73%
1980;80%;83%
1987;86%;84%
1996;NO;92%
1997;93%;96%
2007;89%;87%
2009;85%;91%
2012;NO;97%
2013;97%;94%
2018;92%;91%
2019;90%;90%
2035;90%;95%
2040;89%;93%
2041;87%;93%
2042;65%;76%
2043;96%;97%
2044;NO;94%
2045;58%;71%
2047;92%;88%
2048;90%;78%
2049;72%;76%
2050;95%;91%
2052;92%;85%
2055;91%;91%
2057;93%;95%
2064;NO;96%
2066;95%;96%
2075;96%;95%
2078;94%;88%
2084;88%;91%
2090;87%;88%
2091;82%;92%
2099;81%;86%
2102;NO;94%
2103;NO;91%
2104;NO;88%
2105;NO;91%
2109;87%;84%
2110;81%;82%
2111;NO;93%
2123;87%;91%
2124;91%;88%
2134;NO;90%
2150;61%;68%
2153;88%;76%
2163;NO;87%
2164;79%;82%
2165;91%;92%
2166;74%;75%
2167;83%;86%
2171;67%;76%
2183;73%;77%
2205;NO;95%
2206;95%;94%
2217;81%;84%
2218;78%;80%
2219;NO;94%
2222;NO;94%
2224;97%;93%
2233;90%;88%
2244;88%;100%
2250;77%;86%
2259;80%;79%
2263;94%;98%
2278;80%;84%
2280;NO;95%
2283;NO;95%
2285;91%;94%
2308;65%;69%
2309;84%;89%
2319;94%;95%
2326;85%;90%
2329;91%;90%
2339;95%;94%
2355;71%;74%
2356;75%;74%
2375;NO;96%
2378;NO;97%
2400;81%;94%
2401;93%;93%
2406;NO;94%
2411;NO;93%
2422;NO;94%
2442;NO;95%
2443;NO;94%
2444;NO;94%
2447;NO;92%
2448;NO;92%
2453;92%;94%
2454;72%;82%
2455;79%;81%
2485;NO;95%
2486;NO;95%
2514;93%;94%
2518;95%;92%
2530;NO;96%
2551;NO;92%
2552;NO;96%
2579;81%;82%
2580;83%;89%
2583;NO;95%
2612;95%;95%
2625;NO;94%
2635;NO;92%
2656;81%;75%
2657;91%;95%
2681;NO;91%
2701;100%;94%
2732;NO;88%
2733;NO;84%
2737;96%;98%
2782;79%;79%
2785;56%;67%
2787;64%;70%
2793;NO;95%
2794;NO;97%
2833;100%;100%
2835;NO;98%
2836;NO;98%
2863;87%;83%
2865;NO;94%
2882;NO;96%
2896;83%;89%
2908;97%;98%
2909;88%;88%
2910;96%;97%
2930;87%;85%
2934;NO;96%
2935;94%;91%
2937;NO;97%
2938;NO;95%
2939;NO;88%
2940;84%;92%
2943;100%;99%
2973;78%;86%
2974;NO;98%
2979;99%;93%
2991;79%;79%
2992;68%;73%
2995;84%;85%
3003;100%;98%
3005;80%;91%
3006;87%;91%
3010;92%;86%
3013;86%;89%
3016;94%;98%
3033;94%;99%
3055;NO;98%
3059;94%;96%
3108;83%;83%
3110;98%;93%
3126;NO;98%
3127;NO;95%
3128;90%;98%
3138;95%;95%
3163;NO;94%
3165;NO;94%
3172;96%;98%
3173;96%;98%
3202;83%;85%
3205;NO;95%
3209;94%;96%
3247;92%;91%
3248;89%;95%
3252;97%;98%
3290;88%;92%
3296;91%;93%
3298;75%;76%
3300;58%;67%
3302;88%;88%
3303;90%;89%
3304;91%;91%
3305;NO;97%
3308;66%;77%
3311;76%;85%
3313;96%;96%
3317;97%;96%
3327;NO;95%
3328;NO;95%
3348;NO;99%
3359;92%;98%
3387;98%;98%
3400;90%;98%
3430;87%;91%
